LT,LS,LB,WT,WB,Wfi,Fleet
267,220,204,346.9,198.3,137.9,2
232,187,175,348,197.5,102.4,2
243,198,169,349,158,90.3,1
250,200,190,350,146,90,1
260,215,174,352,149,86,2
235,195,170,352,167.7,99.2,1
263,215,180,354,138,75,2
253,206,190,354,161,103,1
255,200,200,356,160,104,1
260,215,200,356,170,110,2
243,200,183,356.4,163.4,103.6,1
260,215,185,357.6,169,107,2
245,195,185,358,154,105,1
245,200,180,358,155,105,1
245,205,195,358,157.9,90.8,2
250,205,183,358,158,85,1
263,210,200,358.2,197.8,93.4,2
251,208,175,358.9,138.7,77,2
270,220,200,359,166.8,96.7,2
250,200,170,360,153,97.3,1
260,210,200,360,175.4,112.6,1
250,205,180,361,128.4,70,2
246,205,172,362,134,76,1
232,195,175,362.3,136,71,2
265,223,190,363,185,99,2
248,195,190,363.4,176.8,117.7,1
258,210,195,363.5,170,112.6,2
249,203,185,364,159,100.2,1
257,210,200,365,126,102,1
275,232,187,366,108,108,2
244,198,185,366,165,114,1
247,200,190,367,144.8,88.6,1
253,211,186,367,155,96,1
255,210,195,367,172.6,116.8,1
234,197,178,367.1,163.1,104.7,1
241,201,168,368,158.7,72.7,1
260,210,190,368,162,104,1
250,205,180,368,171,103,1
265,215,190,368,177,100.1,2
250,200,200,368.8,165.9,106.5,1
254,210,190,369,154,98,1
246,198,181,369,156,101,1
270,225,205,369.3,209.3,96.9,2
255,205,180,369.4,167.9,82.5,2
260,210,200,370,160,102.2,1
